,"DNR-Wildfire Division
Grants",,,,,,,,,,,,,,,,,,
Parent/Child (SITKA),Grant #,CFDA #,Title,"Program
Manager",Prog Index,Project Codes,Funding increase,Federal Fund Code,"Funds 
Awarded","Matching
Funds","Grant
Total",DNR Match Amount,"Non-DNR/
Other 
Match","
Landowner Match","Match 
PI & Alpha Code","Expend 
Method",Start Date,End Date,Notes
P,2010-DG-11062764-010,10.664,2010 Consolidated Payment Grant,,,,,,"$4,373,732","$4,385,830","$8,759,562","$2,398,910","$148,000","$1,238,920",,,7/9/2010,7/31/2015,Close-out documentation received from USFS on 11/1/2016
C,2010-DG-11062764-010,10.664,State Fire Assitance-Recurrent,John,214,---,,SPCF,"$850,000","$850,000","$1,700,000","$850,000",$0,$0,,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,State Fire Assitance-NFP,John,214,---,,SPS2,"$488,000","$488,000","$976,000","$488,000",$0,$0,,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,Urban & Community Forestry,Linden,244,RPW,,SPUF,"$382,500","$382,500","$765,000","$382,500",$0,$0,,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,Western Competitive - Urban Tech Transfer,Linden,244,RPY,,SPUF,"$20,000","$20,000","$40,000","$20,000",$0,$0,,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,Forest Stewardship - Resource Mgmt,Steve G,25B,      ,,SPST,"$310,000","$310,000","$620,000","$310,000",$0,$0,,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,Ties to the Land,Steve G,25B,OEG,,SPST,"$75,000","$75,000","$150,000","$75,000",$0,$0,,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,WSFM Hazard Mitigation-SE Region CWPP,Steve G,25R,OFF,,SPS2,"$200,000","$200,000","$400,000","$47,414","$45,000","$107,586",,,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,WSFM Hazard Mitigation-Ferry/Okanogan,Steve G & H,25R,OFB,,SPS2,"$200,000","$200,000","$400,000","$47,414","$10,000","$142,586",,,7/9/2010,7/31/2015,Steve G PM/Steve H's project area
C,2010-DG-11062764-010,10.664,WSFM Hazard Mitigation-Stevens/Pend Oreille,Steve G & H,25R,OEW,,SPS2,"$300,000","$300,000","$600,000","$80,376","$10,000","$209,624",,,7/9/2010,7/31/2015,Steve G PM/Steve H's project area
C,2010-DG-11062764-010,10.664,WSFM Hazard Mitigation-Spokane/Lincoln,Steve G & H,25R,OEK,,SPS2,"$300,000","$300,000","$600,000","$80,376","$10,000","$209,624",,,7/9/2010,7/31/2015,Steve G PM/Steve H's project area
C,2010-DG-11062764-010,10.664,NFP WUI Community Assist-Husum,Chuck,237,RQJ,,WFHF,"$180,000","$181,200","$361,200",$0,"$10,500","$170,700",,Staff & IPRs,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,NFP WUI Community Assist-Trout Lake,Chuck,237,RQK,,WFHF,"$191,232","$201,700","$392,932",$0,"$31,000","$170,700",,Staff & IPRs,7/9/2010,7/31/2015,
C,2010-DG-11062764-010,10.664,NFP WUI Community Assist-Chumstick,Chuck,237,RQN,,WFHF,"$200,000","$204,100","$404,100",$0,"$24,300","$179,800",,Staff & IPRs,7/9/2010,7/31/2015,
